Fold,Horizon,Best Threshold,AUROC,AUPRC,Accuracy,Balanced Accuracy,F1,Precision,Recall,F1 (weighted),Precision (weighted),Recall (weighted),Specificity,TP,FP,TN,FN
1,1h,0.42,0.962,0.4634,0.9858,0.7197,0.4816,0.5239,0.4456,0.9853,0.9848,0.9858,0.9939,307,279,45645,382
1,3h,0.4,0.9622,0.4645,0.9867,0.7163,0.4954,0.5709,0.4376,0.9858,0.9852,0.9867,0.995,298,224,44661,383
1,6h,0.38,0.9602,0.4436,0.9864,0.7223,0.5008,0.5647,0.4499,0.9856,0.9851,0.9864,0.9946,301,232,43120,368
2,1h,0.39,0.9738,0.382,0.9799,0.7734,0.4285,0.3466,0.5611,0.9822,0.9853,0.9799,0.9856,358,675,46208,280
2,3h,0.24,0.9695,0.3902,0.9703,0.8846,0.4185,0.2838,0.7965,0.9771,0.9876,0.9703,0.9726,497,1254,44594,127
2,6h,0.25,0.9699,0.3587,0.9717,0.8785,0.4258,0.2924,0.7828,0.978,0.9875,0.9717,0.9742,472,1142,43166,131
3,1h,0.34,0.9422,0.4409,0.9834,0.756,0.4936,0.4685,0.5214,0.9838,0.9843,0.9834,0.9907,402,456,48348,369
3,3h,0.41,0.9406,0.4564,0.9849,0.7332,0.4983,0.5261,0.4733,0.9845,0.9842,0.9849,0.9932,363,327,47430,404
3,6h,0.34,0.9404,0.4694,0.9834,0.7512,0.5,0.4893,0.5112,0.9836,0.9838,0.9834,0.9912,389,406,45798,372
4,1h,0.51,0.9653,0.4766,0.9923,0.6638,0.4592,0.7615,0.3287,0.9908,0.991,0.9923,0.999,166,52,50447,339
4,3h,0.51,0.961,0.4748,0.9919,0.6765,0.467,0.6834,0.3547,0.9906,0.9904,0.9919,0.9983,177,82,49371,322
4,6h,0.51,0.9558,0.4833,0.992,0.6839,0.482,0.6935,0.3694,0.9907,0.9905,0.992,0.9983,181,80,47821,309
5,1h,0.56,0.953,0.2988,0.9841,0.722,0.3933,0.347,0.4538,0.9852,0.9864,0.9841,0.9902,270,508,51356,325
5,3h,0.59,0.9531,0.3005,0.9839,0.722,0.3915,0.3441,0.4539,0.985,0.9863,0.9839,0.99,266,507,50314,320
5,6h,0.59,0.9533,0.3311,0.9848,0.7237,0.4081,0.369,0.4564,0.9855,0.9865,0.9848,0.9909,262,448,48819,312
