feature,mean_abs_shap
drug_epinephrine,0.7944834
drug_milrinone,0.25415966
drug_dopamine,0.23780015
drug_norepinephrine,0.20848435
icu_hour,0.06993693
lab_Procalcitonin_Mass_volume_in_Serum_or_Pl,0.051407825
lab_Prothrombin_time_(PT),0.05071918
lab_Creatinine_Mass_volume_in_Blood,0.028341196
lab_Albumin_Mass_volume_in_Serum_or_Plasma,0.023414731
lab_White_blood_cell_count,0.02220589
lab_Magnesium_Moles_volume_in_Blood,0.01915255
age_in_months,0.01888251
obs_Glasgow_coma_scale,0.014927666
lab_Hemoglobin_Moles_volume_in_Blood,0.013565018
lab_Fibrinogen_measurement,0.013232958
lab_Bilirubin_measurement,0.013035826
lab_C_reactive_protein_Mass_volume_in_Serum_,0.012805118
lab_Phosphate_Moles_volume_in_Serum_or_Plasm,0.012757267
lab_Total_white_blood_count,0.0118129905
lab_Partial_thromboplastin_time,0.010482024
lab_Sodium_Moles_volume_in_Serum_or_Plasma,0.008611868
vital_Systolic_blood_pressure_lag1,0.008610502
lab_Bilirubin.total_Moles_volume_in_Serum_or,0.008339636
lab_Blood_venous_pH,0.0077116317
vital_Diastolic_blood_pressure_roll3_mean,0.007137474
lab_Calcium_Moles_volume_in_Serum_or_Plasma,0.006713168
lab_Glucose_Moles_volume_in_Serum_or_Plasma,0.0064705377
lab_Carbon_dioxide_Partial_pressure_in_Arter,0.006463028
lab_Blood_arterial_pH,0.0062366924
vital_Systolic_blood_pressure_roll3_mean,0.0060268426
lab_Bicarbonate_Moles_volume_in_Venous_blood,0.0058332495
lab_Oxygen_Partial_pressure_in_Venous_blood,0.005589672
lab_Bicarbonate_Moles_volume_in_Arterial_blo,0.0052923784
vital_Body_temperature_roll3_mean,0.0052374294
lab_Base_excess_in_Venous_blood_by_calculati,0.005227341
lab_D-dimer_level,0.0052182814
lab_Chloride_Moles_volume_in_Blood,0.0045456453
lab_Neutrophil_Ab_Units_volume_in_Serum,0.0044932016
vital_Diastolic_blood_pressure,0.004444542
vital_Oxygen/Gas_total_[Pure_volume_fraction]__roll3_mean,0.0043636435
day_of_week,0.004325814
lab__activated,0.004124315
lab_Interleukin_6_Mass_volume_in_Body_fluid,0.0040663634
lab_Hematocrit_Volume_Fraction_of_Blood,0.0036922868
vital_Systolic_blood_pressure_delta1,0.0035871463
lab_Lactate_Moles_volume_in_Blood,0.0033082222
vital_Systolic_blood_pressure_lag6,0.003145372
lab_Base_excess_in_Arterial_blood_by_calcula,0.0030855504
dev_Endotracheal_tube,0.0029151898
vital_Diastolic_blood_pressure_delta1,0.0028976132
lab_Potassium_Moles_volume_in_Blood,0.0026734113
lab_Oxygen_Partial_pressure_in_Arterial_bloo,0.002651267
vital_Respiratory_rate_lag6,0.002527676
vital_Measurement_of_oxygen_saturation_at_peri_roll6_std,0.0023061836
vital_Systolic_blood_pressure,0.0021576073
proc_Invasive_ventilation,0.0021118764
vital_Respiratory_rate,0.0020266175
gender_male,0.001956193
lab_Carbon_dioxide_Partial_pressure_in_Venou,0.0019479339
vital_Respiratory_rate_lag1,0.0015713954
proc_Non-invasive_ventilation,0.0014464332
vital_Respiratory_rate_roll3_mean,0.0013888829
obs_Right_pupil_Diameter_Auto,0.0013251845
vital_Diastolic_blood_pressure_roll6_std,0.0013075706
vital_Oxygen/Gas_total_[Pure_volume_fraction]_,0.0013063166
vital_Oxygen/Gas_total_[Pure_volume_fraction]__roll6_std,0.0013003051
vital_Body_temperature_lag6,0.0012733163
vital_Body_temperature,0.0012119353
dev_Arterial_blood_pressure_catheter,0.0011734136
lab_Platelet_count,0.0010507501
dev_Central_venous_catheter,0.0010194435
vital_Systolic_blood_pressure_roll6_std,0.00096633023
vital_Measurement_of_oxygen_saturation_at_peri,0.00062897574
vital_Oxygen/Gas_total_[Pure_volume_fraction]__lag1,0.00060689775
vital_Heart_rate_lag6,0.0005391901
vital_Heart_rate_roll6_std,0.0003813421
vital_Body_temperature_lag1,0.00037300368
proc_Cannulation,0.00027904622
vital_Body_temperature_roll6_std,0.00023157246
vital_Heart_rate,0.00022842738
vital_Oxygen/Gas_total_[Pure_volume_fraction]__delta1,0.00019849671
vital_Respiratory_rate_roll6_std,0.00018496822
vital_Body_temperature_delta1,0.00012278535
vital_Diastolic_blood_pressure_lag6,0.000108405206
vital_Heart_rate_roll3_mean,6.5952685e-05
vital_Measurement_of_oxygen_saturation_at_peri_lag6,1.3708252e-05
hour_of_day,1.0438562e-05
dev_Nasogastric/orogastric_tube_stylet,0.0
lab_Ionised_calcium_measurement,0.0
proc_Exteriorization_of_trachea,0.0
dev_Urinary_catheter,0.0
obs_Left_pupil_Diameter_Auto,0.0
vital_Respiratory_rate_delta1,0.0
vital_Diastolic_blood_pressure_lag1,0.0
vital_Heart_rate_lag1,0.0
vital_Heart_rate_delta1,0.0
vital_Measurement_of_oxygen_saturation_at_peri_lag1,0.0
vital_Measurement_of_oxygen_saturation_at_peri_roll3_mean,0.0
vital_Measurement_of_oxygen_saturation_at_peri_delta1,0.0
vital_Oxygen/Gas_total_[Pure_volume_fraction]__lag6,0.0
